ID,File,Context,Current Text,New Text (edit this column only)
32,lib/pages/challenge_detail_page.dart,Participants stream error message,Something went wrong: ${snapshot.error},
33,lib/pages/challenge_detail_page.dart,Reset progress button label (below challenge header),Reset progress,
34,lib/pages/challenge_detail_page.dart,Join challenge button label,Join Challenge,
35,lib/pages/challenge_detail_page.dart,Challenge deadline label — already ended,Ended,
36,lib/pages/challenge_detail_page.dart,Challenge deadline label — ends today,Ends today,
37,lib/pages/challenge_detail_page.dart,Challenge deadline label — days remaining,Ends in $daysLeft day${daysLeft == 1 ? '' : 's'},
38,lib/pages/challenge_detail_page.dart,Viewer's own progress percentage (challenge header),Your progress: ${(myPercent * 100).round()}%,
39,lib/pages/challenge_detail_page.dart,Objective tally reset icon tooltip,Reset,
40,lib/pages/challenge_form_page.dart,Edit-objectives error dialog title,Couldn't update objectives,
41,lib/pages/challenge_form_page.dart,Create-challenge error dialog title,Couldn't create challenge,
42,lib/pages/challenge_form_page.dart,Create/edit challenge error dialog message,Something went wrong. Please try again.,
43,lib/pages/challenge_form_page.dart,App bar title — edit mode,Edit Challenge,
44,lib/pages/challenge_form_page.dart,App bar title — create mode,Create a challenge,
45,lib/pages/challenge_form_page.dart,App bar save button,Save,
46,lib/pages/challenge_form_page.dart,Objectives section heading,Objectives,
47,lib/pages/challenge_form_page.dart,Objectives count indicator (create mode),${_objectives.length} / $maxChallengeObjectives,
48,lib/pages/challenge_form_page.dart,"Objective name field label (numbered, create mode)",Objective ${i + 1},
49,lib/pages/challenge_form_page.dart,Objective name field hint,e.g. Push-ups,
50,lib/pages/challenge_form_page.dart,Objective target field label,Target,
51,lib/pages/challenge_form_page.dart,Add objective button,Add objective,
52,lib/pages/challenge_form_page.dart,Challenge name field label,Name,
53,lib/pages/challenge_form_page.dart,Challenge description field label,Description (optional),
54,lib/pages/challenge_form_page.dart,Visibility section heading,Who can join?,
55,lib/pages/challenge_form_page.dart,Visibility segmented button — private,Private,
56,lib/pages/challenge_form_page.dart,Visibility segmented button — public,Public,
57,lib/pages/challenge_form_page.dart,Visibility explanation — public selected,Anyone can find and join this challenge from Explore.,
58,lib/pages/challenge_form_page.dart,Visibility explanation — private selected,Only people with the invite code can join.,
59,lib/pages/challenge_form_page.dart,Deadline checkbox label,Set a deadline?,
60,lib/pages/challenge_form_page.dart,Deadline picker placeholder (no date chosen yet),Choose a date,
61,lib/pages/challenge_form_page.dart,Read-only visibility label — public (edit mode),Public,
62,lib/pages/challenge_form_page.dart,Read-only visibility label — private (edit mode),Private,
63,lib/pages/challenge_form_page.dart,Read-only deadline label — none set (edit mode),No deadline,
64,lib/pages/challenge_participants_page.dart,Participant count label (singular),1 participant,
65,lib/pages/challenge_participants_page.dart,Participant count label (plural),$count participants,
66,lib/pages/challenge_participants_page.dart,App bar title,Challenge Info,
67,lib/pages/challenge_participants_page.dart,Participants stream error message,Something went wrong: ${snapshot.error},
68,lib/pages/challenge_participants_page.dart,Deadline label — already ended,Ended,
69,lib/pages/challenge_participants_page.dart,Deadline label — ends today,Ends today,
70,lib/pages/challenge_participants_page.dart,Deadline label — days remaining,Ends in $daysLeft day${daysLeft == 1 ? '' : 's'},
71,lib/pages/challenge_participants_page.dart,Viewer's own progress percentage (info header),Your progress: ${(myPercent * 100).round()}%,
72,lib/pages/challenge_participants_page.dart,Creator display name fallback when creator not found among participants,Unknown,
73,lib/pages/challenge_participants_page.dart,Creator name shown for official/generated challenges,Count Me In,
74,lib/pages/challenge_participants_page.dart,Creator attribution line,Created by $creatorName,
75,lib/pages/challenge_participants_page.dart,First-to-complete line,First to complete: ${completed.first.displayName},
76,lib/pages/challenge_participants_page.dart,Participant completion rate line,Participant completion rate: $completionRate%,
77,lib/pages/challenge_participants_page.dart,Objective leaderboard goal label,Goal: $target,
78,lib/pages/challenge_participants_page.dart,Empty leaderboard message (no participants),No participants yet.,
79,lib/pages/challenge_participants_page.dart,Leaderboard rank-gap ellipsis,···,
80,lib/pages/challenge_participants_page.dart,Leaderboard row label for the viewer's own entry,You,
81,lib/pages/challenges_list_page.dart,Deadline label (list subtitle) — ends today,Ends today,
82,lib/pages/challenges_list_page.dart,"Deadline label (list subtitle) — days remaining, abbreviated",Ends in $daysLeft d,
83,lib/pages/challenges_list_page.dart,"Objective count label (singular, Explore subtitle)",1 objective,
84,lib/pages/challenges_list_page.dart,"Objective count label (plural, Explore subtitle)",$objectiveCount objectives,
85,lib/pages/challenges_list_page.dart,"Participant count label (singular, reused in this file)",1 participant,
86,lib/pages/challenges_list_page.dart,"Participant count label (plural, reused in this file)",$count participants,
87,lib/pages/challenges_list_page.dart,Add-options sheet item — create challenge,Create a challenge,
88,lib/pages/challenges_list_page.dart,Add-options sheet item — join with code,Join with a code,
89,lib/pages/challenges_list_page.dart,Generic join-error fallback message,Something went wrong. Please try again.,
90,lib/pages/challenges_list_page.dart,Join-challenge error dialog title,Couldn't join challenge,
91,lib/pages/challenges_list_page.dart,App bar title,Challenges,
92,lib/pages/challenges_list_page.dart,Tab label — My Challenges,My Challenges,
93,lib/pages/challenges_list_page.dart,Tab label — Explore,Explore,
94,lib/pages/challenges_list_page.dart,Tab label — Completed,Completed,
95,lib/pages/challenges_list_page.dart,FAB tooltip — add challenge,Add challenge,
96,lib/pages/challenges_list_page.dart,My Challenges tab stream error message,Something went wrong: ${snapshot.error},
97,lib/pages/challenges_list_page.dart,My Challenges tab empty state,No challenges yet. Tap + to create one or join with a code.,
98,lib/pages/challenges_list_page.dart,My Challenges tab subtitle progress line,Progress: $percent%,
99,lib/pages/challenges_list_page.dart,Completed tab stream error message,Something went wrong: ${snapshot.error},
100,lib/pages/challenges_list_page.dart,Completed tab empty state,"Challenges you've finished will show up here once you complete every objective, or their deadline passes.",
101,lib/pages/challenges_list_page.dart,Completed tab status — completed by viewer,Completed!,
102,lib/pages/challenges_list_page.dart,Completed tab status — deadline passed,Ended,
103,lib/pages/challenges_list_page.dart,Completed tab list-tile subtitle template,$objectivesText · ${_participantsText(challenge)}\nProgress: $percent% · $status,
104,lib/pages/challenges_list_page.dart,Explore tab stream error message,Something went wrong: ${snapshot.error},
105,lib/pages/challenges_list_page.dart,Explore tab empty state,No public challenges to join right now.,
106,lib/pages/challenges_list_page.dart,Join-a-challenge dialog title,Join a challenge,
107,lib/pages/challenges_list_page.dart,Join-a-challenge dialog code field label,Code,
108,lib/pages/challenges_list_page.dart,Join-a-challenge dialog cancel button,Cancel,
109,lib/pages/challenges_list_page.dart,Join-a-challenge dialog join button,Join,
110,lib/pages/counter_detail_page.dart,Badge-earned celebration message (from counter detail page),"""${_counter.title}"" hit ${newlyEarnedBadge.value}. Badge earned!",
111,lib/pages/counter_detail_page.dart,Reset-counter dialog title,Reset counter,
112,lib/pages/counter_detail_page.dart,Reset-counter dialog message,"Are you sure you want to reset ""${_counter.title}"" to 0?",
113,lib/pages/counter_detail_page.dart,"Reset-counter dialog ""also clear badges"" checkbox",Also clear badges,
114,lib/pages/counter_detail_page.dart,Reset-counter dialog cancel button,Cancel,
115,lib/pages/counter_detail_page.dart,Reset-counter dialog confirm button,Reset,
116,lib/pages/counter_detail_page.dart,App bar overflow-menu tooltip,More options,
117,lib/pages/counter_detail_page.dart,Overflow menu item — edit,Edit,
118,lib/pages/counter_detail_page.dart,Delete-counter confirm dialog title,Delete counter,
119,lib/pages/counter_detail_page.dart,Delete-counter confirm dialog message,"Are you sure you want to delete ""${_counter.title}""?",
120,lib/pages/counter_detail_page.dart,Overflow menu item — delete,Delete,
121,lib/pages/counter_detail_page.dart,Notes section heading,Notes,
122,lib/pages/counter_detail_page.dart,Notes preview placeholder when empty,Add notes...,
123,lib/pages/counter_detail_page.dart,Reset counter list tile (destructive action row),Reset counter,
124,lib/pages/counter_detail_page.dart,Badges section heading,Badges,
125,lib/pages/counter_detail_page.dart,Empty badges state,Reach your goal to earn a badge!,
126,lib/pages/counter_notes_page.dart,App bar title,Notes,
127,lib/pages/counter_notes_page.dart,Notes text field hint,Write your notes...,
128,lib/pages/group_detail_page.dart,Tally save-failure snackbar,Couldn't save — check your connection and try again.,Save failed - check your connection and try again.
129,lib/pages/group_detail_page.dart,Invite code share-sheet text,"Join my group ""${group.name}"" on Count Me In! Use invite code ${group.code} to join, or tap this link: https://molten-mage.github.io/join/group/${group.code}",
130,lib/pages/group_detail_page.dart,Invite code dialog title,Invite code,Share code
131,lib/pages/group_detail_page.dart,Invite code dialog subtitle,"Share this code so others can join ""${group.name}"":",
132,lib/pages/group_detail_page.dart,Invite code copied confirmation,Copied to clipboard!,
133,lib/pages/group_detail_page.dart,Invite code copy hint,Tap the code to copy,
134,lib/pages/group_detail_page.dart,Invite code dialog close button,Close,
135,lib/pages/group_detail_page.dart,Invite code dialog share button,Share,
136,lib/pages/group_detail_page.dart,Group members dialog title,Group members,
137,lib/pages/group_detail_page.dart,Group members dialog — remove member icon tooltip,Remove member,
138,lib/pages/group_detail_page.dart,Group members dialog close button,Close,
139,lib/pages/group_detail_page.dart,Remove-member confirm dialog title,Remove member,
140,lib/pages/group_detail_page.dart,Remove-member confirm dialog message,"Are you sure you want to remove ${member.displayName} from ""${group.name}""?",
141,lib/pages/group_detail_page.dart,Remove-member confirm button,Remove,
142,lib/pages/group_detail_page.dart,Leave-group confirm message (non-creator),"Are you sure you want to leave ""${group.name}""?",
143,lib/pages/group_detail_page.dart,"Leave-group confirm message (creator, last member)","You're the only member left. Leaving will delete ""${group.name}"".",
144,lib/pages/group_detail_page.dart,"Leave-group confirm message (creator, not last member)",You created this group. Leaving will hand off ownership to another member.,
145,lib/pages/group_detail_page.dart,Leave-group confirm dialog title,Leave group,
146,lib/pages/group_detail_page.dart,Leave-group confirm button,Leave,
147,lib/pages/group_detail_page.dart,Group goal-reached celebration message,"""${group.name}"" hit $total! Great teamwork.",
148,lib/pages/group_detail_page.dart,App bar overflow-menu tooltip,More options,
149,lib/pages/group_detail_page.dart,Overflow menu item — edit group,Edit group,
150,lib/pages/group_detail_page.dart,Overflow menu item — invite code,Invite code,Share code
151,lib/pages/group_detail_page.dart,Overflow menu item — leave group,Leave group,
152,lib/pages/group_detail_page.dart,Delete-group confirm dialog title,Delete group,
153,lib/pages/group_detail_page.dart,Delete-group confirm dialog message,"Are you sure you want to delete ""${group.name}""? This removes it for everyone in the group.",
154,lib/pages/group_detail_page.dart,Overflow menu item — delete group,Delete group,
155,lib/pages/group_detail_page.dart,Members stream error message,Something went wrong: ${snapshot.error},
156,lib/pages/group_detail_page.dart,Team total header — with target set,Team goal: $displayTotal / $target,
157,lib/pages/group_detail_page.dart,Team total header — no target set,Team total: $displayTotal,
158,lib/pages/group_detail_page.dart,Badges section heading,Badges,
159,lib/pages/group_detail_page.dart,Empty badges state,Reach your goal to earn a badge!,
160,lib/pages/group_detail_page.dart,Group admin section heading,Group admin,
161,lib/pages/group_detail_page.dart,Admin display name fallback when creator not found among members,Unknown,
162,lib/pages/group_detail_page.dart,Edit-group dialog title,Edit group,
163,lib/pages/group_detail_page.dart,Edit-group dialog name field label,Name,
164,lib/pages/group_detail_page.dart,"Edit-group dialog ""add goal"" checkbox",Add goal?,
165,lib/pages/group_detail_page.dart,Edit-group dialog target field label,Target count,
166,lib/pages/group_detail_page.dart,Edit-group dialog target field hint,e.g. ${nextTenAbove(widget.currentTotal)},
167,lib/pages/group_detail_page.dart,Edit-group dialog target field helper text,Must be between ${widget.currentTotal + 1} and $maxCounterInput,
168,lib/pages/group_detail_page.dart,"Edit-group dialog ""Group Members"" button",Group Members,
169,lib/pages/group_detail_page.dart,Edit-group dialog cancel button,Cancel,
170,lib/pages/group_detail_page.dart,Edit-group dialog save button,Save,
171,lib/pages/groups_list_page.dart,Delete-group confirm dialog title,Delete group,
172,lib/pages/groups_list_page.dart,Delete-group confirm dialog message,"Are you sure you want to delete ""${group.name}""? This removes it for everyone in the group.",
173,lib/pages/groups_list_page.dart,Leave-group confirm message (non-creator),"Are you sure you want to leave ""${group.name}""?",
174,lib/pages/groups_list_page.dart,"Leave-group confirm message (creator, last member)","You're the only member left. Leaving will delete ""${group.name}"".",
175,lib/pages/groups_list_page.dart,Leave-group confirm dialog title,Leave group,
176,lib/pages/groups_list_page.dart,Leave-group confirm button,Leave,
177,lib/pages/groups_list_page.dart,Create-group error dialog title (FirebaseException),Couldn't create group,
178,lib/pages/groups_list_page.dart,Create-group error dialog message fallback (FirebaseException),Something went wrong. Please try again.,
179,lib/pages/groups_list_page.dart,Create-group error dialog title (generic error),Couldn't create group,
180,lib/pages/groups_list_page.dart,Create-group error dialog message (generic error),Something went wrong. Please try again.,
181,lib/pages/groups_list_page.dart,Join-group error message fallback (FirebaseException),Something went wrong. Please try again.,
182,lib/pages/groups_list_page.dart,Join-group error message fallback (generic error),Something went wrong. Please try again.,
183,lib/pages/groups_list_page.dart,Join-group error dialog title,Couldn't join group,
184,lib/pages/groups_list_page.dart,Add-options sheet item — create group,Create a group,
185,lib/pages/groups_list_page.dart,Add-options sheet item — join group,Join a group,
186,lib/pages/groups_list_page.dart,App bar title,Groups,
187,lib/pages/groups_list_page.dart,Edit-order toggle tooltip — currently editing,Done,
188,lib/pages/groups_list_page.dart,Edit-order toggle tooltip — not editing,Edit,
189,lib/pages/groups_list_page.dart,Groups stream error message,Something went wrong: ${snapshot.error},
190,lib/pages/groups_list_page.dart,Empty groups state,No groups yet. Tap + to create or join one.,
191,lib/pages/groups_list_page.dart,Reorder-mode row trailing icon tooltip — creator (delete),Delete group,
192,lib/pages/groups_list_page.dart,Reorder-mode row trailing icon tooltip — member (leave),Leave group,
193,lib/pages/groups_list_page.dart,Group list-tile subtitle — with target set,Group progress: $total/$target,
194,lib/pages/groups_list_page.dart,Group list-tile subtitle — no target set,Group counter: $total,
195,lib/pages/groups_list_page.dart,FAB tooltip — add group,Add group,
196,lib/pages/groups_list_page.dart,Create-group dialog title,Create a group,
197,lib/pages/groups_list_page.dart,Create-group dialog name field label,Name,
198,lib/pages/groups_list_page.dart,"Create-group dialog ""add goal"" checkbox",Add goal?,
199,lib/pages/groups_list_page.dart,Create-group dialog target field label,Target count,
200,lib/pages/groups_list_page.dart,Create-group dialog target field hint,e.g. ${nextTenAbove(currentTotal)},
201,lib/pages/groups_list_page.dart,Create-group dialog target field helper text,Must be between ${currentTotal + 1} and $maxCounterInput,
202,lib/pages/groups_list_page.dart,"Create-group dialog ""who controls tallies"" heading",Who controls tallies?,
203,lib/pages/groups_list_page.dart,Tally-control segmented button — members,Members,
204,lib/pages/groups_list_page.dart,Tally-control segmented button — admin,Admin,
205,lib/pages/groups_list_page.dart,Tally-control explanation — admin-controlled selected,Only you will be able to update members' tallies.,
206,lib/pages/groups_list_page.dart,Tally-control explanation — member-controlled selected,Each member can update their own tally.,
207,lib/pages/groups_list_page.dart,Create-group dialog cancel button,Cancel,
208,lib/pages/groups_list_page.dart,Create-group dialog create button,Create,
209,lib/pages/groups_list_page.dart,Join-group dialog title,Join a group,
210,lib/pages/groups_list_page.dart,Join-group dialog code field label,Code,
211,lib/pages/groups_list_page.dart,Join-group dialog cancel button,Cancel,
212,lib/pages/groups_list_page.dart,Join-group dialog join button,Join,
213,lib/pages/home_page.dart,Counter save-failure snackbar,Couldn't save — check your connection and try again.,Save failed - check your connection and try again.
214,lib/pages/home_page.dart,Add-options sheet item — add a counter,Add a counter,
215,lib/pages/home_page.dart,Badge-earned celebration message (from counters list),"""${updated.title}"" hit ${newlyEarnedBadge.value}. Badge earned!",
216,lib/pages/home_page.dart,Delete-counter confirm dialog title,Delete counter,
217,lib/pages/home_page.dart,Delete-counter confirm dialog message,"Are you sure you want to delete ""${counter.title}""?",
218,lib/pages/home_page.dart,App bar title,Counters,
219,lib/pages/home_page.dart,Edit-order toggle tooltip — currently editing,Done,
220,lib/pages/home_page.dart,Edit-order toggle tooltip — not editing,Edit,
221,lib/pages/home_page.dart,Empty counters state,No counters yet. Tap + to add one.,
222,lib/pages/home_page.dart,Reorder-mode row trailing icon tooltip,Delete counter,
223,lib/pages/home_page.dart,FAB tooltip — add counter,Add counter,
224,lib/pages/login_page.dart,"""Account exists with different provider"" error message",An account already exists$emailPart using a different sign-in method. Try ${others.join(' or ')} instead.,
225,lib/pages/login_page.dart,Email/password sign-in generic error fallback,Something went wrong.,
226,lib/pages/login_page.dart,Password reset — missing/invalid email prompt,"Enter your email above, then tap ""Forgot password?""",
227,lib/pages/login_page.dart,Password reset sent confirmation,Password reset email sent to $email.,
228,lib/pages/login_page.dart,Password reset generic error fallback,Something went wrong.,
229,lib/pages/login_page.dart,Google sign-in failure message,Google sign-in failed. Try again.,
230,lib/pages/login_page.dart,Google sign-in FirebaseAuthException fallback,Something went wrong.,
231,lib/pages/login_page.dart,Google sign-in unavailable-on-device message,Google sign-in isn't available on this device.,
232,lib/pages/login_page.dart,Apple sign-in failure message,Apple sign-in failed. Try again.,
233,lib/pages/login_page.dart,Apple sign-in FirebaseAuthException fallback,Something went wrong.,
234,lib/pages/login_page.dart,Apple sign-in unavailable-on-device message,Apple sign-in isn't available on this device.,
235,lib/pages/login_page.dart,App bar title — registering,Create account,
236,lib/pages/login_page.dart,App bar title — logging in,Log in,
237,lib/pages/login_page.dart,Method picker — app name headline,Count Me In,
238,lib/pages/login_page.dart,"Method picker — ""Log in"" subheading",Log in,
239,lib/pages/login_page.dart,Method picker — continue with email button,Continue with Email,
240,lib/pages/login_page.dart,Method picker — continue with Apple button,Continue with Apple,
241,lib/pages/login_page.dart,Method picker — continue with Google button,Continue with Google,
242,lib/pages/login_page.dart,Method picker — divider word between sign-in methods and guest option,or,
243,lib/pages/login_page.dart,Method picker — continue as guest button,Continue without an account,
244,lib/pages/login_page.dart,Method picker — guest-mode explanation,"Your counters will be stored only on this device — they won't sync, back up, or support group goals.","Your counters will be stored only on this device, no backup. Limited app features."
245,lib/pages/login_page.dart,Method picker — privacy policy consent text (lead-in span),"By continuing, you agree to our",
246,lib/pages/login_page.dart,Method picker — privacy policy link text,Privacy Policy,
247,lib/pages/login_page.dart,Method picker — privacy policy consent text (trailing period span),.,
248,lib/pages/login_page.dart,Email form — email field label,Email,
249,lib/pages/login_page.dart,Email form — email field validator error,Enter a valid email,
250,lib/pages/login_page.dart,Email form — password field label,Password,
251,lib/pages/login_page.dart,Email form — password field validator error,Password must be at least 6 characters,
252,lib/pages/login_page.dart,Email form — confirm password field label (registering),Confirm password,
253,lib/pages/login_page.dart,Email form — confirm password validator error,Passwords do not match,
254,lib/pages/login_page.dart,Email form — username field label (registering),Username (optional),
255,lib/pages/login_page.dart,Email form — username field helper text,Shown to others instead of the name associated with you email account,
256,lib/pages/login_page.dart,Email form — submit button (registering),Create account,
257,lib/pages/login_page.dart,Email form — submit button (logging in),Log in,
258,lib/pages/login_page.dart,Email form — toggle to login link (currently registering),Already have an account? Log in,
259,lib/pages/login_page.dart,Email form — toggle to register link (currently logging in),Need an account? Create one,
260,lib/pages/login_page.dart,Email form — forgot password button,Forgot password?,
261,lib/pages/main_shell.dart,Guest placeholder — Challenges tab title,Challenges,
262,lib/pages/main_shell.dart,Guest placeholder — Challenges tab explanation,Challenges are shared with other people and need an account to sync.,
263,lib/pages/main_shell.dart,Guest placeholder — Groups tab title,Groups,
264,lib/pages/main_shell.dart,Guest placeholder — Groups tab explanation,Group tasks are shared with other people and need an account to sync.,
265,lib/pages/main_shell.dart,Bottom nav destination label — Challenges,Challenges,
266,lib/pages/main_shell.dart,Bottom nav destination label — Groups,Groups,
267,lib/pages/main_shell.dart,Bottom nav destination label — Counters,Counters,
268,lib/pages/main_shell.dart,Bottom nav destination label — Settings,Settings,
269,lib/pages/main_shell.dart,"Guest placeholder — ""sign in to use X"" heading template",Sign in to use ${title.toLowerCase()},
270,lib/pages/main_shell.dart,Guest placeholder — sign-in button,Log in or create an account,
271,lib/pages/privacy_policy_page.dart,App bar title,Privacy Policy,
272,lib/pages/privacy_policy_page.dart,Last-updated date line,"Last updated: August 9, 2026",
273,lib/pages/privacy_policy_page.dart,Intro paragraph,"Count Me In (""the app"") is a personal goal and group tally tracker. This policy explains what data the app collects, how it's used, and who it's shared with.",
274,lib/pages/privacy_policy_page.dart,Section heading — Data we collect,Data we collect,
275,lib/pages/privacy_policy_page.dart,Paragraph — guest mode data handling,"If you use the app without an account (guest mode): your personal counters, targets, notes, and badges are stored locally only, using standard on-device storage, and are never sent to us or anyone else. This applies to your counter data specifically — guest mode does not exempt you from the app usage analytics and advertising data described below, which apply to every user of the app, account or not.",
276,lib/pages/privacy_policy_page.dart,Paragraph — lead-in to account-data bullets,"If you create an account, we additionally collect:",
277,lib/pages/privacy_policy_page.dart,Bullet — Account info,"Account info — an email address and password (if you sign up with email), or your name and email as shared by Google or Apple (if you sign in with one of those). Passwords are handled entirely by our authentication provider (Firebase Authentication) — the app never sees or stores your password itself.",
278,lib/pages/privacy_policy_page.dart,Bullet — Display name,"Display name — the name shown to other members of any group you join. This comes from your Google/Apple account, or a username you choose when registering with email.",
279,lib/pages/privacy_policy_page.dart,Bullet — App data,"App data — the personal counters, targets, notes, and badges you create, and any groups you create or join, including group names, invite codes, targets, member tallies, and badges earned.",
280,lib/pages/privacy_policy_page.dart,Paragraph — lead-in to every-user bullets,"For every user, account or guest, we collect:",
281,lib/pages/privacy_policy_page.dart,Bullet — Usage analytics,"Usage analytics — we use Firebase Analytics to understand how the app is used: which features get tapped (e.g. creating a counter, reaching a goal, joining a group), general app-open/session activity, and basic device/OS information. This is tied to an anonymous device identifier, not your name or email, and never includes the actual content of your counters or notes.",
282,lib/pages/privacy_policy_page.dart,Bullet — Advertising data,"Advertising data — unless you're on the paid Premium tier (which removes ads entirely), the app shows banner ads served by Google AdMob. AdMob and its partners may use advertising identifiers (Apple's IDFA or Android's advertising ID) and similar technologies to serve and measure ads, and — only with your consent — to personalize them.",
283,lib/pages/privacy_policy_page.dart,Section heading — Ad consent,Ad consent,
284,lib/pages/privacy_policy_page.dart,Paragraph — consent form / ATT explanation,"Where required by law (the EEA, UK, and similar jurisdictions), the app shows a consent form — provided by Google's User Messaging Platform — the first time it would show you an ad, letting you choose whether ads can be personalized. On iOS, the app also asks for Apple's App Tracking Transparency permission before using identifiers that track you across other apps. Declining either doesn't stop the app from working — you'll just see non-personalized ads instead.",
285,lib/pages/privacy_policy_page.dart,Paragraph — where to change ad consent later,"If you're somewhere this choice applies to you, you can change it anytime from Settings → Ad privacy options.",
286,lib/pages/privacy_policy_page.dart,Section heading — How we use your data,How we use your data,
287,lib/pages/privacy_policy_page.dart,Paragraph — how data is used,"Your account and app data are used to provide the app's functionality: syncing your counters across your devices, and running shared group tallies and leaderboards for the groups you're part of. Usage analytics is used to understand which features people actually use so we can improve the app. Advertising data is used to serve and measure the ads that support the free tier, and — only with consent where required — to personalize them.",
288,lib/pages/privacy_policy_page.dart,Section heading — Who your data is shared with,Who your data is shared with,
289,lib/pages/privacy_policy_page.dart,Bullet — Other app users,"Other app users: if you join or create a group, your display name and tally within that group are visible to other people using the app (so they can see group progress and who earned which badge). Your email address and personal (non-group) counters are never shown to other users.",
290,lib/pages/privacy_policy_page.dart,Bullet — Service providers,"Service providers: we use Google Firebase (Authentication, Cloud Firestore, and Analytics) to sign you in, store your data securely, and understand app usage. We use Google AdMob to serve ads. We use Google Sign-In and/or Sign in with Apple if you choose those sign-in methods. These providers process data on our behalf under their own privacy policies (Google's and Apple's).",
291,lib/pages/privacy_policy_page.dart,Paragraph — we don't sell data,"We do not sell your data. Beyond the ad-serving and analytics described above, we don't share your data with anyone else for advertising or marketing purposes.",
292,lib/pages/privacy_policy_page.dart,Section heading — Data retention and deletion,Data retention and deletion,
293,lib/pages/privacy_policy_page.dart,Paragraph — account deletion details,"You can delete your account at any time from Settings → Delete account. This permanently removes your personal counters, your account, and your membership in any groups you're part of. This can't be undone. Group data you created (e.g. a group's name or shared tallies) may persist for remaining group members after you leave or delete your account, since it's shared, not personal, data.",
294,lib/pages/privacy_policy_page.dart,Section heading — Children's privacy,Children's privacy,
295,lib/pages/privacy_policy_page.dart,Paragraph — children's privacy statement,"Count Me In is not directed at children under 13, and we do not knowingly collect personal information from children under 13.",
296,lib/pages/privacy_policy_page.dart,Section heading — Security,Security,
297,lib/pages/privacy_policy_page.dart,Paragraph — security statement,"We rely on Firebase's infrastructure and security practices to protect your data, including encryption in transit. No method of storage or transmission is 100% secure, but we take reasonable steps to protect your information.",
298,lib/pages/privacy_policy_page.dart,Section heading — Changes to this policy,Changes to this policy,
